number,numbits,radius,classweight,numtrees,mean auroc,mean aupr
79,1024,6,balanced,3000,0.8960190656379976,0.2912685720868874
80,2048,2,balanced,50,0.8723303759624019,0.395655308762314
81,2048,2,balanced,100,0.8882114158902347,0.395185172840427
82,2048,2,balanced,250,0.8844328683171182,0.4072449895994572
83,2048,2,balanced,500,0.8946844577886089,0.4132473415016517
84,2048,2,balanced,750,0.8949824585162487,0.406040401523174
85,2048,2,balanced,1000,0.8926707430976265,0.4086752697531162
86,2048,2,balanced,2000,0.8972224165456507,0.4120272851298261
87,2048,2,balanced,3000,0.8962444144824088,0.4112206526796269
88,2048,3,balanced,50,0.8739921294669891,0.3778502839827933
89,2048,3,balanced,100,0.8928053716819924,0.3971497734501879
90,2048,3,balanced,250,0.8911006522091484,0.3967465903719929
91,2048,3,balanced,500,0.8959950006917743,0.401945904561753
92,2048,3,balanced,750,0.9019182090317004,0.3999133408565896
93,2048,3,balanced,1000,0.9017204310261367,0.4054574529960946
94,2048,3,balanced,2000,0.9000032858571,0.401779024679795
95,2048,3,balanced,3000,0.8992021204202066,0.4066137614305676
96,2048,4,balanced,50,0.8811309583082491,0.3509029300014988
97,2048,4,balanced,100,0.8840918730327337,0.3639569862903947
98,2048,4,balanced,250,0.9016020041011116,0.3842659857024493
99,2048,4,balanced,500,0.8975832799462253,0.3797344109654878
100,2048,4,balanced,750,0.8994363515969748,0.3872873729697829
101,2048,4,balanced,1000,0.8969233177373069,0.3829666226912485
102,2048,4,balanced,2000,0.8998239749788071,0.3867315325882294
103,2048,4,balanced,3000,0.89847631971269,0.3839048495326952
104,2048,5,balanced,50,0.892172282380819,0.3268706963710662
105,2048,5,balanced,100,0.8840127850407088,0.3352575180168805
106,2048,5,balanced,250,0.8994297120971791,0.3651797618163308
107,2048,5,balanced,500,0.8976094403167806,0.3666485543788484
108,2048,5,balanced,750,0.899166843460522,0.3701390145769034
109,2048,5,balanced,1000,0.8983896468948736,0.3478046209403325
110,2048,5,balanced,2000,0.8986579231520566,0.3582208853209244
111,2048,5,balanced,3000,0.8992456672742005,0.3614585725099228
112,2048,6,balanced,50,0.8812555188965895,0.3053234469956961
113,2048,6,balanced,100,0.8898370041727227,0.3206748722942839
114,2048,6,balanced,250,0.8925732179810439,0.3425726903771266
115,2048,6,balanced,500,0.8977752741386279,0.3322668575746902
116,2048,6,balanced,750,0.9005934671698963,0.3352565743572976
117,2048,6,balanced,1000,0.8997618707173927,0.3356082621359501
118,2048,6,balanced,2000,0.9007706239087884,0.3338043626956512
119,2048,6,balanced,3000,0.9020366164489017,0.3358334198387274
120,4096,2,balanced,50,0.8643417604076129,0.3990647033166308
121,4096,2,balanced,100,0.8749624175644067,0.4213607354535885
122,4096,2,balanced,250,0.8929637196838719,0.433078292286762
123,4096,2,balanced,500,0.893677541421212,0.4232886406643585
124,4096,2,balanced,750,0.8954747971493885,0.42604820950095
125,4096,2,balanced,1000,0.892936532875817,0.4260853274805118
126,4096,2,balanced,2000,0.8963385239579466,0.4248937067130054
127,4096,2,balanced,3000,0.8939010889581579,0.4252647559808347
128,4096,3,balanced,50,0.8895718904989437,0.4104085476282599
129,4096,3,balanced,100,0.8893155431039746,0.4132536294377598
130,4096,3,balanced,250,0.893989662695008,0.4270401028582636
131,4096,3,balanced,500,0.901861748305751,0.4225552595646247
132,4096,3,balanced,750,0.8966058550882189,0.425450920926513
133,4096,3,balanced,1000,0.8974243434890857,0.4261701418728789
134,4096,3,balanced,2000,0.9003987895528779,0.4263277472812669
135,4096,3,balanced,3000,0.9009262310663164,0.425782985371492
136,4096,4,balanced,50,0.8856586965866305,0.4100566274482097
137,4096,4,balanced,100,0.8799429707446951,0.4034793709835991
138,4096,4,balanced,250,0.9042448268792082,0.415597814632574
139,4096,4,balanced,500,0.9016001146160884,0.4238526871253059
140,4096,4,balanced,750,0.9029500559252368,0.4258260595366571
141,4096,4,balanced,1000,0.9018498863919155,0.4206248233742793
142,4096,4,balanced,2000,0.901055863759887,0.4213567376103412
143,4096,4,balanced,3000,0.9024697287509088,0.421269653880913
144,4096,5,balanced,50,0.8760819310796908,0.3784233023489166
145,4096,5,balanced,100,0.8837642567379717,0.3888280156040513
146,4096,5,balanced,250,0.897852209952438,0.408999245576157
147,4096,5,balanced,500,0.9029094708996244,0.4062562168651462
148,4096,5,balanced,750,0.9027962381046112,0.397444049827248
149,4096,5,balanced,1000,0.905454200961675,0.4052565862623227
150,4096,5,balanced,2000,0.905509812600606,0.4084367951573886
151,4096,5,balanced,3000,0.9049679375607056,0.4006448580568447
152,4096,6,balanced,50,0.8913017672981006,0.3667334572915625
153,4096,6,balanced,100,0.8899908807679587,0.3586297980985979
154,4096,6,balanced,250,0.906309158973158,0.3916592590527307
155,4096,6,balanced,500,0.909986352392086,0.3971684499835013
156,4096,6,balanced,750,0.9051028303040324,0.3986899323195447
157,4096,6,balanced,1000,0.9068915398188055,0.3886192587697968
158,4096,6,balanced,2000,0.9094222871225436,0.3949871734487426
159,4096,6,balanced,3000,0.9097662157485646,0.3942563693216375
