Mode,Seed,N (negatives),Data Selection,Test Set,Metric,Value
class_imbalanced,1,8136,diverse,Random (20%),auPR,0.3831611184285169
class_imbalanced,1,16272,random,Restricted Similarity,auROC,0.6318181818181818
class_imbalanced,1,16272,random,Restricted Similarity,auPR,0.666474033215257
class_imbalanced,1,16272,random,Random (20%),auROC,0.9133419708409656
class_imbalanced,1,16272,random,Random (20%),auPR,0.5022795075574042
class_imbalanced,1,16272,similar,Restricted Similarity,auROC,0.5345454545454545
class_imbalanced,1,16272,similar,Restricted Similarity,auPR,0.5843621589615889
class_imbalanced,1,16272,similar,Random (20%),auROC,0.8736099675987091
class_imbalanced,1,16272,similar,Random (20%),auPR,0.1811459104297881
class_imbalanced,1,16272,diverse,Restricted Similarity,auROC,0.7009090909090909
class_imbalanced,1,16272,diverse,Restricted Similarity,auPR,0.7329684113513208
class_imbalanced,1,16272,diverse,Random (20%),auROC,0.9084972013198792
class_imbalanced,1,16272,diverse,Random (20%),auPR,0.500664999858676
class_imbalanced,1,29950,random,Restricted Similarity,auROC,0.6854545454545455
class_imbalanced,1,29950,random,Restricted Similarity,auPR,0.7181335189571935
class_imbalanced,1,29950,random,Random (20%),auROC,0.9156523977593536
class_imbalanced,1,29950,random,Random (20%),auPR,0.5117238901914488
class_imbalanced,2,508,random,Restricted Similarity,auROC,0.5745454545454545
class_imbalanced,2,508,random,Restricted Similarity,auPR,0.5917877894331685
class_imbalanced,2,508,random,Random (20%),auROC,0.8894555923606989
class_imbalanced,2,508,random,Random (20%),auPR,0.2384594961532697
class_imbalanced,2,508,similar,Restricted Similarity,auROC,0.4654545454545455
class_imbalanced,2,508,similar,Restricted Similarity,auPR,0.5014125359734898
class_imbalanced,2,508,similar,Random (20%),auROC,0.8140850943424325
class_imbalanced,2,508,similar,Random (20%),auPR,0.1112579791480878
class_imbalanced,2,508,diverse,Restricted Similarity,auROC,0.5286363636363637
class_imbalanced,2,508,diverse,Restricted Similarity,auPR,0.551487482444133
class_imbalanced,2,508,diverse,Random (20%),auROC,0.3749654286948215
class_imbalanced,2,508,diverse,Random (20%),auPR,0.0296712681993903
class_imbalanced,2,1017,random,Restricted Similarity,auROC,0.5827272727272726
