,Name,SMILES
124,BRD-K12151048,CN(C)/C=C/C(=S)c1cccs1
125,BRD-K09319573,CC(C)(C)C(=O)NC1=CNC(=O)NC1=O
126,BRD-K37036284,COc1ccc(cc1)CNC(=S)NN
127,BRD-K23677407,CC1=CC2=NC=C(C(=O)O)C(=O)N2C=C1
128,BRD-K38055407,CCOC(=O)c1ncn2c1C(=O)OC2(C)C
129,BRD-A46703053,NC(=O)CCN1C(=O)[C@H]2[C@H]3C[C@@H](C=C3)[C@@H]2C1=O
130,BRD-A26095674,CNC(=O)C[C@H]1Nc2ccccc2NC1=O
131,BRD-A21402098,CC[C@@H](CO)NC(=O)c1ccc(cc1)N
132,BRD-K94877553,OC(=O)/C=C/C(=O)NCc1ccccc1
133,BRD-K41545879,NC(=S)C1=CN=C2C=CC=CN2C1=N
134,BRD-K13638100,COC(=O)CC1=C(C)Nc2ncnn2C1=O
135,BRD-K01755506,NC(=S)c1ccc(nc1)-n1cncn1
136,BRD-K90019201,CCC1=C(C)NC(=NC1=O)N1CCOCC1
137,BRD-A16145984,Cn1cc([n+](c1)C)[C@@H](O)c1ccccc1
138,BRD-K34570504,CS(=O)(=O)N1CC(=O)Nc2ccccc21
139,BRD-K37107322,CN(C)/C=C/C(=O)C1=C(O)C=C(C)OC1=O
140,BRD-K40250568,CC1=CC(=O)N=C(N1)SCC(=O)N
141,BRD-K77033949,NNC(=S)NCc1ccc(cc1)F
142,BRD-A28751669,CCC[C@@H](N[C@H]1CCS(=O)(=O)C1)C(=O)O
143,BRD-K64559358,CN(C)C(=O)CN1C(=O)Oc2ccccc21
144,BRD-K99733537,Cc1ccc(cc1)NC1N(N)C(=O)NC1=O
145,BRD-K17909399,CC(=O)N[C@@H](Cc1ccccc1)C(=O)NN
146,BRD-K12961310,NC(=O)NC1=Nc2ccccc2NC1=O
147,BRD-K18420974,OC(=O)COCC(=O)Nc1cnccn1
148,BRD-K12971880,N#CC(c1ccccc1)c1ccccc1
149,BRD-K91389396,O=C1NC(=O)C(C#N)C(=N1)Nc1ccccc1
150,BRD-K22371574,CN(C)S(=O)(=O)Nc1cccc(c1)N
151,BRD-K15312901,NNC(=O)c1nc(no1)-c1ccccc1
152,BRD-K71760540,Cc1ccc(s1)C=Nn1nnnc1N
153,BRD-K21798442,CC1=CC(=O)n2nc(nc2N1)S(=O)(=O)C
154,BRD-K47492555,c1ccc(cc1)-c1nc2ccccc2o1
155,BRD-K84103085,CC1=C(C(=O)N)C(=O)N2CCOC2=C1
156,BRD-K22299207,C/C(=N\O)Cc1ncn(n1)-c1cc(on1)C
157,BRD-K32436622,N/C(=N/O)C1=CN=C2SCCN2C1=O
158,BRD-A00013550,CC(C)NC(=O)N[C@H]1CCCCNC1=O
159,BRD-K87286031,CC1=NNC(=NC1=O)NN1CCOCC1
160,BRD-A15234886,C[C@@H](SC(=S)N1CCOCC1)C(=O)O
161,BRD-A01814315,C[C@H]1CNC(=CC(=O)c2ccccc2)C(=O)N1
162,BRD-K07294765,CCOC(=O)CN1C=C(F)C(=O)NC1=O
163,BRD-K29290527,COC(=O)CN1C(=N)N(C)c2ccccc21
164,BRD-K13394555,CCc1nnc(n1N)SCC(=O)O
165,BRD-A48439278,C[C@@H](O)CN1C(=N)N(C)c2ccccc21
166,BRD-K89841319,O=C1NC=C(Nc2ccccc2)C(=O)N1
167,BRD-K52445987,CNC(=O)Nc1ccc(cc1)C(=O)NC
168,BRD-K56268516,NC(=O)NC(=O)C[n+]1ccc(cc1)/C=N/O
169,BRD-K53116056,CS(=O)(=O)N(CCC#N)Cc1ccco1
170,BRD-K39011799,CC(C)(C)C(=O)C[n+]1ccc(cc1)C(=O)N
171,BRD-K04441764,COc1cccc(c1C(=O)NN)OC
172,BRD-K09603702,CN(/N=C/c1ccc(o1)C)C1=NCCN1
173,BRD-K80682511,NC(=S)NC1=Nc2ccccc2NC1=O
174,BRD-A93346602,CC1(C)C[C@@H](CCO1)N1NC(=O)C=C1N
175,BRD-K33068337,CCN1C(N=O)C(=O)N(CC)C1=S
176,BRD-K25460182,OC(=O)CCN1C(=O)c2ccncc2C1=O
177,BRD-K52239798,O=C(Nc1nn[nH]n1)C1CCCCC1
178,BRD-K01229041,NCCOc1ccccc1Cc1ccccc1
179,BRD-K48379721,Nc1ccc(cc1)/C=C/c1ccccc1
180,BRD-K72982644,COC(=O)CSc1cc(nc(n1)N)C
