Name,SMILES,hit
BRD-K51677086,CCOC(=O)CCC(=O)O[C@H]1[C@@H](O[C@H](C)C[C@@H]1N(C)C)O[C@@H]1[C@@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]1(C)O,1.0
BRD-K22442616,ONC(=O)c1cn(nn1)-c1cccc(c1)C(=O)N1CCC2(CC1)N(CNC2=O)c1ccccc1,1.0
BRD-K34903139,CC(C)N1C[C@@H](CN(C)CCc2ccc(c(c2)Cl)Cl)Oc2c(cccc2C1=O)NC(=O)c1ccncc1,1.0
HYDROQUINONE,Oc1ccc(O)cc1,1.0
LEAD ACETATE,CC(=O)O[PbH2]OC(C)=O,1.0
BRD-A98283014,Clc1ccc(cc1)C(c1ccc(cc1)Cl)[n+]1ccn(c1)C[C@@H](OCc1ccc(cc1Cl)Cl)c1ccc(cc1Cl)Cl,1.0
BRD-K12130780,C/C(=C\c1ccccc1OCc1cn(nn1)-c1ccc(cc1)C[C@@H]1N(CC#C)[C@H](/C=C/C2CC2)[C@H](Cc2ccccc2)OC1=O)/C=C/C(=O)NO,1.0
BRD-K20986434,OC[C@H]1O[C@@H](OCCc2ccc(c(c2)O)O)[C@H](O)[C@@H](O)[C@@H]1OC(=O)/C=C/c1ccc(c(c1)O)O,1.0
BRD-K90180076,C[C@@H]1CCCCO[C@H](CN(C)C(=O)Nc2cccc3ccccc23)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NS(=O)(=O)c1cn(cn1)C,1.0
CHLORPROMAZINE HYDROCHLORIDE,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21.Cl,1.0
MITOXANTRONE HYDROCHLORIDE,Cl.Cl.O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,1.0
BRD-K91274809,C=CC(=O)N1CCC=CC1=O,1.0
BRD-K72531819,O[C@@H]1COC[C@@H]2O[C@@H](CC[C@H]2N(C1)C(=O)Nc1ccc(c(c1)Cl)Cl)CC(=O)NCc1ccc(c(c1)Cl)Cl,1.0
BRD-K16919185,COc1cccc(c1)S(=O)(=O)N[C@H]1CC[C@H](CCn2cc(nn2)-c2ccccc2OC)O[C@@H]1CO,1.0
BRD-K08033334,CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@@H]([C@H](C)O)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O,1.0
BRD-K66826939,OS(=O)(=O)c1cc(c2c(ccc(c2c1)S(=O)(=O)O)NC(=O)c1ccc(cc1)NC(=O)c1ccc(cc1)NC(=O)Nc1ccc(cc1)C(=O)Nc1ccc(cc1)C(=O)Nc1ccc(c2cc(cc(c12)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,1.0
BRD-K56547488,Cc1cccc(c1)/C=C(\CCC(=O)O)c1nc2ccccc2s1,1.0
CLONIXIN,Cc1c(Cl)cccc1Nc1ncccc1C(=O)O,1.0
BRD-K32706871,CC(C)[C@H](NS(=O)(=O)c1ccc(cc1)C)C(=O)NCCn1cc(nn1)COc1ccccc1/C=C(C)/C=C/C(=O)NO,1.0
MERBROMIN,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)cc-2oc2c([Hg]O)c([O-])c(Br)cc12.[Na+].[Na+],1.0
BRD-K99913029,CC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,1.0
BRD-K81354966,ONC(=O)CCCCCNC(=O)OCCCCO[C@H]1C[C@H](C=C(O1)C(=O)N1CCOCC1)c1ccc(cc1)C#C,1.0
BRD-K34253453,C[C@H]1CCCCO[C@@H](CN(C)S(=O)(=O)c2ccc(cc2)C)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NS(=O)(=O)c1ccc(cc1)C,1.0
BRD-A20863183,CO[C@@H]1[C@@H](OC(=O)c2ccc([nH]2)C)[C@@H](O)[C@H](CC1(C)C)Oc1ccc2c(c1C)OC(=O)[C@@H](C2)NC(=O)c1[nH]cc(c1C)CC(=O)NC1=Cc2ccc(c(c2OC1=O)C)O[C@@H]1OC(C)(C)[C@H](OC)[C@@H](OC(=O)c2ccc([nH]2)C)[C@H]1O,1.0
BRD-K18574146,COc1ccc(cc1)[Si](C)(C)[C@@H]1[C@@H](C)[C@]2(O[C@H]1CCOC(=O)NCCCCCC(=O)NO)C(=O)N(Cc1cccc(c1)I)c1ccccc12,1.0
BRD-K56483981,COc1cc(ccc1NN=C1C=Cc2c(c(c(cc2S(=O)(=O)O)S(=O)(=O)O)N)C1=O)-c1ccc(c(c1)OC)NN=C1C=Cc2c(c(c(cc2S(=O)(=O)O)S(=O)(=O)O)N)C1=O,1.0
BRD-A34368293,COc1ccccc1[C@@H](NC(=O)C1CCN(CCOc2ccc(cc2Cl)Cl)CC1)c1ccccn1,1.0
BRD-A62129005,CC(C)c1c(ccc2c1CC[C@H]1C(C)(C)CCC[C@@]12C)O,1.0
BRD-A70579168,CO[C@H]1/C=C\O[C@@]2(C)Oc3c(c(c4c(c3C2=O)[C@@]2(OCC(=O)O2)C=C(NC(=O)/C(=C\C=C/[C@@H](C)[C@@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@@H](OC(=O)C)[C@@H]1C)C)C4=O)O)C,1.0
BRD-K72219455,COCCOC(=O)N1C(=O)[C@@]2([C@H]([C@H]3N([C@@H]([C@@H](OC3=O)c3ccccc3)c3ccccc3)[C@H]2c2ccc(cc2)OCCO)C(=O)N2CCCCCCC2)c2cc(ccc21)C#CC1(O)CCCCCC1,1.0
ANTIMONY POTASSIUM TARTRATE TRIHYDRATE,O.O.O.O=C([O-])C1O[Sb]2OC(=O)C(O2)C(C(=O)[O-])O[Sb]2OC(=O)C1O2.[K+].[K+],1.0
BRD-K97345511,CC1(C)CC(CC(C)(C)N1)Nc1ccc(cc1)Nc1ccccc1,1.0
BRD-A30600876,COc1cc2c(cc1O)[C@@H](N(CC2)Cc1sc2ccccc2c1Cl)c1ccc(cc1)CN1CCCC1,1.0
BRD-K87324699,CO[C@H]1O[C@H](COC(=O)NCCCCCC(=O)NO)[C@H](OC(=O)Nc2ccccc2)[C@H](OC(=O)Nc2ccccc2)[C@H]1OC(=O)Nc1ccccc1,1.0
BRD-A14037484,OC1[C@H]2O[C@H]2C(=O)C(=C)C1=O,1.0
BRD-K03898380,CN1C(=O)N2[C@@H](C=C3CN4[C@@H](Cc5ccc(cc5)-n5cc(nn5)C(=O)NO)C(=O)O[C@@H](Cc5ccccc5)[C@H]4[C@@H]3N2C1=O)C1CC1,1.0
BRD-A50989501,C[C@H]1CC/C=C\[C@H]2O[C@]34C=CCN(Cn5nnc6ccccc56)C(=O)[C@H]4N(CCCCCO)C(=O)[C@@H]3[C@@H]2C(=O)O1,1.0
SULFAMETHIZOLE,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,1.0
BRD-K31801624,C[C@H]1CN([C@H](C)CO)S(=O)(=O)c2ccc(cc2O[C@H]1CN(C)C(=O)c1ccncc1)-c1cccc(c1)C#N,1.0
BRD-A32167909,Cc1cccnc1[C@@H](NC(=O)C1CCN(CCOc2ccc(cc2Cl)Cl)CC1)c1ccc(cc1)F,1.0
BRD-K53879257,CCCNC(=O)N(C)C[C@@H]1Oc2cc(ccc2S(=O)(=O)N(C[C@@H]1C)[C@H](C)CO)C#Cc1ccccn1,1.0
BRD-A50930398,OCCN1[C@@H]2C(=O)N(CCN3CCOCC3)CC=C[C@@]32O[C@@H]2C=CCOC(=O)[C@@H]2[C@H]3C1=O,1.0
BRD-K51471001,CN(CCCCCCCCCCN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C)C(=O)Oc1cccc(c1)[N+](C)(C)C,1.0
TEPOXALIN,COc1ccc(-n2nc(CCC(=O)N(C)O)cc2-c2ccc(Cl)cc2)cc1,1.0
