Value,Metric,Model
0.8364221212930805,auROC,FFN:Scaffold
0.773832185261774,auROC,FFN:Scaffold
0.8790788137857334,auROC,FFN:Scaffold
0.8136054582091135,auROC,FFN:Scaffold
0.9222973305752562,auROC,FFN:Scaffold
0.912836975758324,auROC,FFN:Scaffold
0.8640037799506419,auROC,FFN:Scaffold
0.8759662335344884,auROC,FFN:Scaffold
0.8677186929165821,auROC,FFN:Scaffold
0.8349321263861785,auROC,FFN:Scaffold
0.8549578299521313,auROC,FFN:Scaffold
0.8813437431071245,auROC,FFN:Scaffold
0.8670638882549826,auROC,FFN:Scaffold
0.8155896855870067,auROC,FFN:Scaffold
-0.1,auPR,dummy1
-0.1,auROC,dummy1
0.4606870451841162,auPR,ChemBERTa:Random
0.3344704658320144,auPR,ChemBERTa:Random
0.3735426870203861,auPR,ChemBERTa:Random
0.3959121582950926,auPR,ChemBERTa:Random
0.3734824151087226,auPR,ChemBERTa:Random
0.4719738646314367,auPR,ChemBERTa:Random
0.4039329530767702,auPR,ChemBERTa:Random
0.4806281689241022,auPR,ChemBERTa:Random
0.4195666729358582,auPR,ChemBERTa:Random
0.4554178067220532,auPR,ChemBERTa:Random
0.4360215327450321,auPR,ChemBERTa:Random
0.4032219016739414,auPR,ChemBERTa:Random
0.4237721962893336,auPR,ChemBERTa:Random
0.5078429070222785,auPR,ChemBERTa:Random
0.4584819331598253,auPR,ChemBERTa:Random
0.4063852543390625,auPR,ChemBERTa:Random
0.436081147332958,auPR,ChemBERTa:Random
0.4452135408424195,auPR,ChemBERTa:Random
0.4840118593133442,auPR,ChemBERTa:Random
0.4750737979919622,auPR,ChemBERTa:Random
0.9050200524234256,auROC,ChemBERTa:Random
0.8690811672227985,auROC,ChemBERTa:Random
0.8732278006789821,auROC,ChemBERTa:Random
0.8671280238349341,auROC,ChemBERTa:Random
0.9015188437189752,auROC,ChemBERTa:Random
0.9095691034815956,auROC,ChemBERTa:Random
0.8578113170512855,auROC,ChemBERTa:Random
0.895372494783714,auROC,ChemBERTa:Random
0.873161581920904,auROC,ChemBERTa:Random
0.8787132504179321,auROC,ChemBERTa:Random
0.8974259705168737,auROC,ChemBERTa:Random
0.8871874153651711,auROC,ChemBERTa:Random
0.8939617306630983,auROC,ChemBERTa:Random
0.9030157713271592,auROC,ChemBERTa:Random
0.8894729802033173,auROC,ChemBERTa:Random
0.8738498333449144,auROC,ChemBERTa:Random
0.8860782939422067,auROC,ChemBERTa:Random
0.895153161464473,auROC,ChemBERTa:Random
0.8812845103167684,auROC,ChemBERTa:Random
0.8933935026809326,auROC,ChemBERTa:Random
0.2796201553181712,auPR,ChemBERTa:Scaffold
0.2652161000267966,auPR,ChemBERTa:Scaffold
0.2711476003895507,auPR,ChemBERTa:Scaffold
0.270591272520273,auPR,ChemBERTa:Scaffold
0.2718947883863105,auPR,ChemBERTa:Scaffold
0.2755255340384556,auPR,ChemBERTa:Scaffold
0.3056349626007582,auPR,ChemBERTa:Scaffold
0.2690575460710379,auPR,ChemBERTa:Scaffold
0.2847444373152797,auPR,ChemBERTa:Scaffold
0.2891764068078434,auPR,ChemBERTa:Scaffold
0.2576121789583606,auPR,ChemBERTa:Scaffold
0.2567695813118711,auPR,ChemBERTa:Scaffold
0.2748101471459235,auPR,ChemBERTa:Scaffold
0.2925632288637025,auPR,ChemBERTa:Scaffold
0.2805242780164341,auPR,ChemBERTa:Scaffold
0.3104214699606951,auPR,ChemBERTa:Scaffold
0.288100811712643,auPR,ChemBERTa:Scaffold
0.2954503437371528,auPR,ChemBERTa:Scaffold
0.2724741707213245,auPR,ChemBERTa:Scaffold
0.2657377210000093,auPR,ChemBERTa:Scaffold
0.6941993264747035,auROC,ChemBERTa:Scaffold
0.6962095274948055,auROC,ChemBERTa:Scaffold
0.7126595837153809,auROC,ChemBERTa:Scaffold
0.7021565707972667,auROC,ChemBERTa:Scaffold
0.7075369219164908,auROC,ChemBERTa:Scaffold
0.6967650036031641,auROC,ChemBERTa:Scaffold
0.7140848664305683,auROC,ChemBERTa:Scaffold
0.7120062473537074,auROC,ChemBERTa:Scaffold
0.7045629796624523,auROC,ChemBERTa:Scaffold
0.7009710316826074,auROC,ChemBERTa:Scaffold
0.7054036244745969,auROC,ChemBERTa:Scaffold
0.6973263681508337,auROC,ChemBERTa:Scaffold
0.7056576685705954,auROC,ChemBERTa:Scaffold
0.6974365660865152,auROC,ChemBERTa:Scaffold
0.7064139124192793,auROC,ChemBERTa:Scaffold
0.716279571882422,auROC,ChemBERTa:Scaffold
0.6924053152978851,auROC,ChemBERTa:Scaffold
0.7106519063121266,auROC,ChemBERTa:Scaffold
0.6979079216332849,auROC,ChemBERTa:Scaffold
0.6988702608578615,auROC,ChemBERTa:Scaffold
-0.1,auPR,dummy2
-0.1,auROC,dummy2
0.4144157133663772,auPR,AttentiveFP:Random
0.4123152207664475,auPR,AttentiveFP:Random
0.4616550731439414,auPR,AttentiveFP:Random
0.4818363523401941,auPR,AttentiveFP:Random
0.3295421154830568,auPR,AttentiveFP:Random
0.4876933041767241,auPR,AttentiveFP:Random
0.4455197102692495,auPR,AttentiveFP:Random
0.4350413984661473,auPR,AttentiveFP:Random
0.4914619760759692,auPR,AttentiveFP:Random
0.463912285168043,auPR,AttentiveFP:Random
0.4840777509667843,auPR,AttentiveFP:Random
0.4162346842448578,auPR,AttentiveFP:Random
0.5094316575392805,auPR,AttentiveFP:Random
0.4002812068144362,auPR,AttentiveFP:Random
0.427992109187414,auPR,AttentiveFP:Random
0.3796406439429903,auPR,AttentiveFP:Random
0.4169868710524446,auPR,AttentiveFP:Random
0.3666092940633934,auPR,AttentiveFP:Random
0.46334103363088,auPR,AttentiveFP:Random
0.5446639472699507,auPR,AttentiveFP:Random
0.918893736048978,auROC,AttentiveFP:Random
0.890598851361631,auROC,AttentiveFP:Random
0.9104516133756052,auROC,AttentiveFP:Random
0.9059726851530157,auROC,AttentiveFP:Random
0.911268195825114,auROC,AttentiveFP:Random
0.9356131292085637,auROC,AttentiveFP:Random
0.9149340702072752,auROC,AttentiveFP:Random
0.9056013527795392,auROC,AttentiveFP:Random
0.9234440108398654,auROC,AttentiveFP:Random
0.9006767831363228,auROC,AttentiveFP:Random
0.9189070426806852,auROC,AttentiveFP:Random
0.9130242343996068,auROC,AttentiveFP:Random
0.919424602243394,auROC,AttentiveFP:Random
0.9106059946385366,auROC,AttentiveFP:Random
0.91234102975676,auROC,AttentiveFP:Random
0.9012274421638486,auROC,AttentiveFP:Random
0.9064700162279234,auROC,AttentiveFP:Random
0.8984113967456696,auROC,AttentiveFP:Random
0.9187899593141527,auROC,AttentiveFP:Random
0.9022578708644612,auROC,AttentiveFP:Random
0.3321932582842533,auPR,AttentiveFP:Scaffold
0.3471306839856389,auPR,AttentiveFP:Scaffold
0.3156633315602586,auPR,AttentiveFP:Scaffold
0.3229229487566589,auPR,AttentiveFP:Scaffold
0.3101360338334256,auPR,AttentiveFP:Scaffold
0.3753361936524994,auPR,AttentiveFP:Scaffold
0.3578551937605335,auPR,AttentiveFP:Scaffold
0.2968629518745368,auPR,AttentiveFP:Scaffold
0.3620564157294343,auPR,AttentiveFP:Scaffold
0.3324591485621831,auPR,AttentiveFP:Scaffold
0.2998180008801936,auPR,AttentiveFP:Scaffold
0.3590203702143165,auPR,AttentiveFP:Scaffold
0.3131287675867833,auPR,AttentiveFP:Scaffold
0.3302583422402022,auPR,AttentiveFP:Scaffold
0.3213239227005344,auPR,AttentiveFP:Scaffold
0.3151558245710975,auPR,AttentiveFP:Scaffold
0.3276815492520518,auPR,AttentiveFP:Scaffold
0.3415716040189059,auPR,AttentiveFP:Scaffold
0.3688848761363579,auPR,AttentiveFP:Scaffold
