Mode,Seed,N (negatives),Data Selection,Test Set,Metric,Value
class_balanced,1,8136,random,Random (20%),auPR,0.3765590026735931
class_balanced,1,8136,similar,Restricted Similarity,auROC,0.5368181818181819
class_balanced,1,8136,similar,Restricted Similarity,auPR,0.5763547353454841
class_balanced,1,8136,similar,Random (20%),auROC,0.8119443327525354
class_balanced,1,8136,similar,Random (20%),auPR,0.0984053437205989
class_balanced,1,8136,diverse,Restricted Similarity,auROC,0.6040909090909091
class_balanced,1,8136,diverse,Restricted Similarity,auPR,0.608259526337711
class_balanced,1,8136,diverse,Random (20%),auROC,0.7960888684652254
class_balanced,1,8136,diverse,Random (20%),auPR,0.3830875461339345
class_balanced,1,16272,random,Restricted Similarity,auROC,0.6263636363636363
class_balanced,1,16272,random,Restricted Similarity,auPR,0.6451326340908291
class_balanced,1,16272,random,Random (20%),auROC,0.903872624419468
class_balanced,1,16272,random,Random (20%),auPR,0.4758974394593928
class_balanced,1,16272,similar,Restricted Similarity,auROC,0.5081818181818182
class_balanced,1,16272,similar,Restricted Similarity,auPR,0.5625274623265679
class_balanced,1,16272,similar,Random (20%),auROC,0.8587421789070361
class_balanced,1,16272,similar,Random (20%),auPR,0.1355452978477052
class_balanced,1,16272,diverse,Restricted Similarity,auROC,0.7104545454545454
class_balanced,1,16272,diverse,Restricted Similarity,auPR,0.7607435283652397
class_balanced,1,16272,diverse,Random (20%),auROC,0.8816241280053102
class_balanced,1,16272,diverse,Random (20%),auPR,0.4682901128789295
class_balanced,1,29950,random,Restricted Similarity,auROC,0.6627272727272728
class_balanced,1,29950,random,Restricted Similarity,auPR,0.6660515250409883
class_balanced,1,29950,random,Random (20%),auROC,0.9125351297647236
class_balanced,1,29950,random,Random (20%),auPR,0.5192417514826345
class_balanced,2,508,random,Restricted Similarity,auROC,0.3145454545454545
class_balanced,2,508,random,Restricted Similarity,auPR,0.4363053234891796
class_balanced,2,508,random,Random (20%),auROC,0.759449135504624
class_balanced,2,508,random,Random (20%),auPR,0.1168862935430815
class_balanced,2,508,similar,Restricted Similarity,auROC,0.389090909090909
class_balanced,2,508,similar,Restricted Similarity,auPR,0.4785908066898089
class_balanced,2,508,similar,Random (20%),auROC,0.7269856162095808
class_balanced,2,508,similar,Random (20%),auPR,0.0588692815158817
class_balanced,2,508,diverse,Restricted Similarity,auROC,0.4513636363636364
class_balanced,2,508,diverse,Restricted Similarity,auPR,0.4966043523644573
class_balanced,2,508,diverse,Random (20%),auROC,0.3224609237878236
class_balanced,2,508,diverse,Random (20%),auPR,0.0218045865117085
class_balanced,2,1017,random,Restricted Similarity,auROC,0.5509090909090909
class_balanced,2,1017,random,Restricted Similarity,auPR,0.567576162614818
class_balanced,2,1017,random,Random (20%),auROC,0.8392327935954796
class_balanced,2,1017,random,Random (20%),auPR,0.2077958317275562
class_balanced,2,1017,similar,Restricted Similarity,auROC,0.4204545454545454
class_balanced,2,1017,similar,Restricted Similarity,auPR,0.4690238910527521
class_balanced,2,1017,similar,Random (20%),auROC,0.6798223779526554
class_balanced,2,1017,similar,Random (20%),auPR,0.0594682617557322
class_balanced,2,1017,diverse,Restricted Similarity,auROC,0.5349999999999999
class_balanced,2,1017,diverse,Restricted Similarity,auPR,0.5730442044979022
class_balanced,2,1017,diverse,Random (20%),auROC,0.3639268109513385
class_balanced,2,1017,diverse,Random (20%),auPR,0.0243603128300737
class_balanced,2,2034,random,Restricted Similarity,auROC,0.5495454545454546
class_balanced,2,2034,random,Restricted Similarity,auPR,0.5600563981655995
class_balanced,2,2034,random,Random (20%),auROC,0.8599452603272466
class_balanced,2,2034,random,Random (20%),auPR,0.2610366446612789
class_balanced,2,2034,similar,Restricted Similarity,auROC,0.5131818181818182
class_balanced,2,2034,similar,Restricted Similarity,auPR,0.566724676670528
class_balanced,2,2034,similar,Random (20%),auROC,0.7795778790451088
class_balanced,2,2034,similar,Random (20%),auPR,0.083403720695679
class_balanced,2,2034,diverse,Restricted Similarity,auROC,0.520909090909091
class_balanced,2,2034,diverse,Restricted Similarity,auPR,0.5777323978500561
class_balanced,2,2034,diverse,Random (20%),auROC,0.3772840995398293
class_balanced,2,2034,diverse,Random (20%),auPR,0.025939338144809
class_balanced,2,4068,random,Restricted Similarity,auROC,0.5731818181818182
class_balanced,2,4068,random,Restricted Similarity,auPR,0.5861273028601125
class_balanced,2,4068,random,Random (20%),auROC,0.851164148811917
class_balanced,2,4068,random,Random (20%),auPR,0.3331837586548052
class_balanced,2,4068,similar,Restricted Similarity,auROC,0.5209090909090909
class_balanced,2,4068,similar,Restricted Similarity,auPR,0.5772813700009384
class_balanced,2,4068,similar,Random (20%),auROC,0.7809705707775672
class_balanced,2,4068,similar,Random (20%),auPR,0.0806021348542309
class_balanced,2,4068,diverse,Restricted Similarity,auROC,0.5972727272727272
class_balanced,2,4068,diverse,Restricted Similarity,auPR,0.6476191126706192
class_balanced,2,4068,diverse,Random (20%),auROC,0.3706331122897267
class_balanced,2,4068,diverse,Random (20%),auPR,0.0236605159640392
class_balanced,2,8136,random,Restricted Similarity,auROC,0.6813636363636364
class_balanced,2,8136,random,Restricted Similarity,auPR,0.6576943592075913
class_balanced,2,8136,random,Random (20%),auROC,0.8820863197622344
class_balanced,2,8136,random,Random (20%),auPR,0.3883427753886642
class_balanced,2,8136,similar,Restricted Similarity,auROC,0.5472727272727272
class_balanced,2,8136,similar,Restricted Similarity,auPR,0.5596732451404091
class_balanced,2,8136,similar,Random (20%),auROC,0.8121714396342463
class_balanced,2,8136,similar,Random (20%),auPR,0.097530988303797
class_balanced,2,8136,diverse,Restricted Similarity,auROC,0.6845454545454547
class_balanced,2,8136,diverse,Restricted Similarity,auPR,0.6631308450094359
class_balanced,2,8136,diverse,Random (20%),auROC,0.7556941598960095
class_balanced,2,8136,diverse,Random (20%),auPR,0.2863002320738592
class_balanced,2,16272,random,Restricted Similarity,auROC,0.7045454545454545
class_balanced,2,16272,random,Restricted Similarity,auPR,0.660939385909762
class_balanced,2,16272,random,Random (20%),auROC,0.915888014500801
class_balanced,2,16272,random,Random (20%),auPR,0.4284740387486568
class_balanced,2,16272,similar,Restricted Similarity,auROC,0.5627272727272727
class_balanced,2,16272,similar,Restricted Similarity,auPR,0.6418121340438538
class_balanced,2,16272,similar,Random (20%),auROC,0.8577228572705051
class_balanced,2,16272,similar,Random (20%),auPR,0.1506150813707966
class_balanced,2,16272,diverse,Restricted Similarity,auROC,0.7504545454545455
class_balanced,2,16272,diverse,Restricted Similarity,auPR,0.7373087603040303
class_balanced,2,16272,diverse,Random (20%),auROC,0.8898388019819463
class_balanced,2,16272,diverse,Random (20%),auPR,0.4499400638003308
class_balanced,2,29950,random,Restricted Similarity,auROC,0.7109090909090909
class_balanced,2,29950,random,Restricted Similarity,auPR,0.7235197553264263
class_balanced,2,29950,random,Random (20%),auROC,0.918907950974698
class_balanced,2,29950,random,Random (20%),auPR,0.5277688368849265
