num,init_lr,dropout,hiddensize,ffn num layers,depth,mean auc,mean prc-auc
43.0,0.001,0.1,1200.0,3.0,4.0,0.8105390936467641,0.5956504722262749
44.0,0.001,0.1,1200.0,3.0,5.0,0.786928132457251,0.5425302621326822
45.0,0.001,0.1,1500.0,1.0,3.0,0.7505296431428886,0.5275718777160741
46.0,0.001,0.1,1500.0,1.0,4.0,0.7585654228056825,0.5047440339563501
47.0,0.001,0.1,1500.0,1.0,5.0,0.7457083716248717,0.4820166357181957
48.0,0.001,0.1,1500.0,2.0,3.0,0.7622489937076109,0.5146702567414158
49.0,0.001,0.1,1500.0,2.0,4.0,0.7502805135123559,0.5053749690297425
50.0,0.001,0.1,1500.0,2.0,5.0,0.7539777979956598,0.5185492705515035
51.0,0.001,0.1,1500.0,3.0,3.0,0.7893703370087369,0.5532553637545012
52.0,0.001,0.1,1500.0,3.0,4.0,0.784983618801391,0.5273725925403154
53.0,0.001,0.1,1500.0,3.0,5.0,0.7965084564611759,0.5875179525025164
54.0,0.001,0.2,300.0,1.0,3.0,0.7244596201061584,0.4466045781547916
55.0,0.001,0.2,300.0,1.0,4.0,0.7096017576613062,0.4471112329683643
56.0,0.001,0.2,300.0,1.0,5.0,0.7057104219878232,0.4328075976859913
57.0,0.001,0.2,300.0,2.0,3.0,0.7785890520812749,0.4849226239892382
58.0,0.001,0.2,300.0,2.0,4.0,0.7748994742228447,0.4733801926636167
59.0,0.001,0.2,300.0,2.0,5.0,0.7743076411382516,0.4822774316370917
60.0,0.001,0.2,300.0,3.0,3.0,0.8181728999797618,0.5334117434174458
61.0,0.001,0.2,300.0,3.0,4.0,0.8020396733644163,0.5161757004091951
62.0,0.001,0.2,300.0,3.0,5.0,0.8065520591932378,0.5302259794774583
63.0,0.001,0.2,500.0,1.0,3.0,0.759152689460073,0.4692268486415562
64.0,0.001,0.2,500.0,1.0,4.0,0.7486895546251199,0.4927785609331025
65.0,0.001,0.2,500.0,1.0,5.0,0.7473707293902901,0.4610495684695219
66.0,0.001,0.2,500.0,2.0,3.0,0.7630124869792961,0.4784964488957346
67.0,0.001,0.2,500.0,2.0,4.0,0.7861763538405745,0.5291872500130655
68.0,0.001,0.2,500.0,2.0,5.0,0.7726526901460297,0.5107198849833784
69.0,0.001,0.2,500.0,3.0,3.0,0.7891008563927407,0.5377800410131487
70.0,0.001,0.2,500.0,3.0,4.0,0.77122228607795,0.5331743469553666
71.0,0.001,0.2,500.0,3.0,5.0,0.7886237865653568,0.5584106582517702
72.0,0.001,0.2,700.0,1.0,3.0,0.7518728328636697,0.515861639232709
73.0,0.001,0.2,700.0,1.0,4.0,0.7474029292876438,0.5034938102002452
74.0,0.001,0.2,700.0,1.0,5.0,0.7511664563113225,0.4984237886046241
75.0,0.001,0.2,700.0,2.0,3.0,0.7684579427832879,0.497611527622535
76.0,0.001,0.2,700.0,2.0,4.0,0.7798243727162797,0.5348546457023301
77.0,0.001,0.2,700.0,2.0,5.0,0.7803296344108821,0.4961434136068492
78.0,0.001,0.2,700.0,3.0,3.0,0.7907031079544966,0.5805737079290949
79.0,0.001,0.2,700.0,3.0,4.0,0.7885602816186322,0.5732851959730775
80.0,0.001,0.2,700.0,3.0,5.0,0.8034360414471914,0.5551685963983983
81.0,0.001,0.2,1000.0,1.0,3.0,0.7174791356613417,0.4792088949158308
82.0,0.001,0.2,1000.0,1.0,4.0,0.7522211279514598,0.5207118952156825
83.0,0.001,0.2,1000.0,1.0,5.0,0.7514435392338322,0.4993869791265186
84.0,0.001,0.2,1000.0,2.0,3.0,0.7498017904085864,0.4320684677290513
85.0,0.001,0.2,1000.0,2.0,4.0,0.7852478315098209,0.5323270530735754
86.0,0.001,0.2,1000.0,2.0,5.0,0.764828387758644,0.5244763037955287
87.0,0.001,0.2,1000.0,3.0,3.0,0.7851321982544496,0.555969187680554
88.0,0.001,0.2,1000.0,3.0,4.0,0.7952169664108362,0.5542937611352784
89.0,0.001,0.2,1000.0,3.0,5.0,0.7984028728359752,0.5864506568726369
90.0,0.001,0.2,1200.0,1.0,3.0,0.7468538955242932,0.5306513318499145
91.0,0.001,0.2,1200.0,1.0,4.0,0.743087307774483,0.5148850284197829
92.0,0.001,0.2,1200.0,1.0,5.0,0.7546458764791951,0.500576045453705
93.0,0.001,0.2,1200.0,2.0,3.0,0.7725050188563866,0.5197272920974402
94.0,0.001,0.2,1200.0,2.0,4.0,0.7730357729898113,0.5136159172936245
95.0,0.001,0.2,1200.0,2.0,5.0,0.7724939338432527,0.526447421612234
96.0,0.001,0.2,1200.0,3.0,3.0,0.7895765960762202,0.5604543580699616
97.0,0.001,0.2,1200.0,3.0,4.0,0.79853296440404,0.5689450406829012
98.0,0.001,0.2,1200.0,3.0,5.0,0.7913226463417292,0.5424891361174025
99.0,0.001,0.2,1500.0,1.0,3.0,0.7504492135599627,0.5358299644123172
100.0,0.001,0.2,1500.0,1.0,4.0,0.7577488682121146,0.5122504508156365
101.0,0.001,0.2,1500.0,1.0,5.0,0.7453907662353451,0.4795124230490651
102.0,0.001,0.2,1500.0,2.0,3.0,0.7636203880173618,0.5212192670787107
103.0,0.001,0.2,1500.0,2.0,4.0,0.756060368986531,0.4904579420728571
104.0,0.001,0.2,1500.0,2.0,5.0,0.7474004342129784,0.4939883357922954
105.0,0.001,0.2,1500.0,3.0,3.0,0.7879407101548463,0.557773436138106
106.0,0.001,0.2,1500.0,3.0,4.0,0.7943918876502538,0.5800057725799789
107.0,0.001,0.2,1500.0,3.0,5.0,0.8018913397379975,0.5613432563360462
108.0,0.001,0.3,300.0,1.0,3.0,0.7211918308500431,0.4045774653451299
109.0,0.001,0.3,300.0,1.0,4.0,0.7313442235530476,0.4510091724036635
110.0,0.001,0.3,300.0,1.0,5.0,0.723641112384528,0.4347054366956269
111.0,0.001,0.3,300.0,2.0,3.0,0.7710561539158315,0.4808091505538022
112.0,0.001,0.3,300.0,2.0,4.0,0.7674015593467094,0.4608552175704466
113.0,0.001,0.3,300.0,2.0,5.0,0.7700779232079529,0.4770905274707633
114.0,0.001,0.3,300.0,3.0,3.0,0.796632073675598,0.5066289497457294
115.0,0.001,0.3,300.0,3.0,4.0,0.7884370902860359,0.4959039238948755
